Date,Open,High,Low,Close,Adj Close,Volume
2024-06-01 00:00:00,3762.29000000,3768.66000000,3760.13000000,3761.85000000,3761.85000000,1758.73610000
2024-06-01 00:15:00,3761.79000000,3761.79000000,3752.67000000,3759.84000000,3759.84000000,1461.32350000
2024-06-01 00:30:00,3759.84000000,3766.60000000,3759.83000000,3763.60000000,3763.60000000,814.30420000
2024-06-01 00:45:00,3763.60000000,3765.63000000,3760.66000000,3764.15000000,3764.15000000,2398.60890000
2024-06-01 01:00:00,3764.15000000,3776.19000000,3764.15000000,3771.49000000,3771.49000000,2112.04580000
2024-06-01 01:15:00,3771.49000000,3772.79000000,3759.39000000,3766.46000000,3766.46000000,1690.14500000
2024-06-01 01:30:00,3766.46000000,3766.46000000,3759.22000000,3764.00000000,3764.00000000,887.12770000
2024-06-01 01:45:00,3764.00000000,3767.00000000,3761.75000000,3766.79000000,3766.79000000,661.80230000
2024-06-01 02:00:00,3766.79000000,3773.98000000,3766.47000000,3768.98000000,3768.98000000,765.21690000
2024-06-01 02:15:00,3768.98000000,3771.64000000,3766.00000000,3771.01000000,3771.01000000,1070.95020000
2024-06-01 02:30:00,3771.01000000,3779.36000000,3771.01000000,3774.00000000,3774.00000000,1082.28670000
2024-06-01 02:45:00,3774.00000000,3778.00000000,3773.64000000,3777.79000000,3777.79000000,561.15980000
2024-06-01 03:00:00,3777.79000000,3781.99000000,3776.75000000,3778.94000000,3778.94000000,1131.06210000
2024-06-01 03:15:00,3778.94000000,3779.79000000,3775.01000000,3776.75000000,3776.75000000,840.42460000
2024-06-01 03:30:00,3776.75000000,3780.69000000,3774.51000000,3780.60000000,3780.60000000,848.55180000
2024-06-01 03:45:00,3780.60000000,3782.07000000,3776.22000000,3778.98000000,3778.98000000,1078.72040000
2024-06-01 04:00:00,3778.98000000,3780.55000000,3772.34000000,3773.94000000,3773.94000000,799.05640000
2024-06-01 04:15:00,3773.94000000,3775.86000000,3771.19000000,3775.28000000,3775.28000000,636.31420000
2024-06-01 04:30:00,3775.28000000,3781.51000000,3774.44000000,3779.17000000,3779.17000000,1174.00530000
2024-06-01 04:45:00,3779.16000000,3785.26000000,3778.74000000,3784.35000000,3784.35000000,1236.97830000
2024-06-01 05:00:00,3784.35000000,3785.85000000,3778.33000000,3785.85000000,3785.85000000,1207.91050000
2024-06-01 05:15:00,3785.85000000,3787.97000000,3781.01000000,3781.02000000,3781.02000000,948.32180000
2024-06-01 05:30:00,3781.02000000,3792.84000000,3781.00000000,3791.16000000,3791.16000000,2667.08980000
2024-06-01 05:45:00,3791.16000000,3794.11000000,3787.40000000,3789.79000000,3789.79000000,1239.76030000
2024-06-01 06:00:00,3789.79000000,3791.81000000,3784.74000000,3787.97000000,3787.97000000,631.29440000
2024-06-01 06:15:00,3787.97000000,3788.47000000,3782.31000000,3787.55000000,3787.55000000,1652.09240000
2024-06-01 06:30:00,3787.56000000,3790.76000000,3783.14000000,3787.06000000,3787.06000000,1243.93070000
2024-06-01 06:45:00,3787.06000000,3790.23000000,3783.31000000,3788.84000000,3788.84000000,1502.72800000
2024-06-01 07:00:00,3788.84000000,3790.67000000,3787.00000000,3787.01000000,3787.01000000,994.48170000
2024-06-01 07:15:00,3787.00000000,3787.01000000,3783.50000000,3784.50000000,3784.50000000,594.74630000
2024-06-01 07:30:00,3784.50000000,3784.50000000,3777.01000000,3778.17000000,3778.17000000,1822.83010000
2024-06-01 07:45:00,3778.16000000,3779.49000000,3770.31000000,3773.00000000,3773.00000000,1491.49020000
2024-06-01 08:00:00,3772.99000000,3777.50000000,3772.43000000,3775.65000000,3775.65000000,1240.66550000
2024-06-01 08:15:00,3775.64000000,3779.20000000,3774.69000000,3777.51000000,3777.51000000,736.58270000
2024-06-01 08:30:00,3777.51000000,3790.95000000,3777.11000000,3788.22000000,3788.22000000,4853.92380000
2024-06-01 08:45:00,3788.23000000,3802.00000000,3787.60000000,3799.11000000,3799.11000000,4917.69740000
2024-06-01 09:00:00,3799.11000000,3809.55000000,3799.10000000,3800.61000000,3800.61000000,3384.52980000
2024-06-01 09:15:00,3800.61000000,3800.61000000,3790.43000000,3791.28000000,3791.28000000,1715.87850000
2024-06-01 09:30:00,3791.28000000,3796.19000000,3788.48000000,3795.45000000,3795.45000000,2743.31980000
2024-06-01 09:45:00,3795.46000000,3795.46000000,3790.10000000,3793.14000000,3793.14000000,860.89040000
2024-06-01 10:00:00,3793.14000000,3796.05000000,3790.01000000,3793.98000000,3793.98000000,935.74150000
2024-06-01 10:15:00,3793.98000000,3794.80000000,3790.12000000,3791.50000000,3791.50000000,656.94260000
2024-06-01 10:30:00,3791.50000000,3793.00000000,3784.99000000,3786.07000000,3786.07000000,968.38230000
2024-06-01 10:45:00,3786.07000000,3788.00000000,3784.07000000,3785.99000000,3785.99000000,699.07890000
2024-06-01 11:00:00,3785.99000000,3789.90000000,3782.07000000,3789.41000000,3789.41000000,1207.35570000
2024-06-01 11:15:00,3789.41000000,3791.99000000,3785.66000000,3786.98000000,3786.98000000,1119.52480000
