Date,Open,High,Low,Close,Adj Close,Volume
2023-05-17,0.244624,0.259513,0.238307,0.256821,0.256821,34885800
2023-05-18,0.256868,0.258250,0.242640,0.247178,0.247178,29299485
2023-05-19,0.247122,0.283287,0.242777,0.264992,0.264992,108459958
2023-05-20,0.265031,0.266478,0.255169,0.258822,0.258822,47264264
2023-05-21,0.258849,0.258938,0.242135,0.243186,0.243186,37588351
2023-05-22,0.243229,0.244761,0.234975,0.240027,0.240027,31591209
2023-05-23,0.240015,0.248255,0.237860,0.245186,0.245186,31788522
2023-05-24,0.245194,0.245194,0.223111,0.232277,0.232277,40769781
2023-05-25,0.232249,0.245906,0.224641,0.237288,0.237288,63671978
2023-05-26,0.237271,0.248993,0.232167,0.245014,0.245014,54597636
2023-05-27,0.245044,0.263161,0.242415,0.255144,0.255144,64804786
2023-05-28,0.255134,0.271898,0.254090,0.268570,0.268570,60767451
2023-05-29,0.268608,0.270565,0.257000,0.261228,0.261228,36403051
2023-05-30,0.261237,0.283857,0.257515,0.276793,0.276793,70094022
2023-05-31,0.276715,0.288832,0.259552,0.264105,0.264105,61344777
2023-06-01,0.264100,0.268961,0.254847,0.262700,0.262700,43268671
2023-06-02,0.262697,0.279279,0.258972,0.273398,0.273398,45120410
2023-06-03,0.273444,0.274908,0.266726,0.268969,0.268969,23402716
2023-06-04,0.268946,0.279317,0.265916,0.270835,0.270835,27668108
2023-06-05,0.270884,0.271628,0.229505,0.241751,0.241751,53794570
2023-06-06,0.241666,0.251258,0.233978,0.246010,0.246010,34264559
2023-06-07,0.245990,0.246071,0.226846,0.228581,0.228581,39260985
2023-06-08,0.228631,0.231805,0.223052,0.228216,0.228216,24523248
2023-06-09,0.228202,0.229783,0.216984,0.219170,0.219170,26035148
2023-06-10,0.219188,0.219361,0.178488,0.189020,0.189020,54828519
2023-06-11,0.188892,0.189571,0.180877,0.183116,0.183116,30504757
2023-06-12,0.183158,0.189558,0.177970,0.185471,0.185471,28474727
2023-06-13,0.185477,0.193762,0.183553,0.189455,0.189455,36363440
2023-06-14,0.189455,0.192379,0.177760,0.180182,0.180182,27767735
2023-06-15,0.180104,0.187902,0.173426,0.182510,0.182510,29579255
2023-06-16,0.182540,0.194328,0.180900,0.190285,0.190285,37033774
2023-06-17,0.190300,0.199963,0.189429,0.197628,0.197628,24247119
2023-06-18,0.197603,0.197603,0.182670,0.183230,0.183230,28836777
2023-06-19,0.183223,0.192260,0.181794,0.189395,0.189395,28179454
2023-06-20,0.189383,0.199555,0.182674,0.199320,0.199320,32274029
2023-06-21,0.199299,0.227873,0.199299,0.223482,0.223482,69348880
2023-06-22,0.223471,0.252613,0.222633,0.229092,0.229092,98532339
2023-06-23,0.229128,0.248210,0.229104,0.238602,0.238602,57544013
2023-06-24,0.238579,0.240129,0.223922,0.229536,0.229536,34590199
2023-06-25,0.229594,0.239493,0.226652,0.228090,0.228090,28847563
2023-06-26,0.228072,0.232684,0.217357,0.219815,0.219815,35023459
2023-06-27,0.219835,0.237009,0.219374,0.233982,0.233982,51781591
2023-06-28,0.233995,0.234257,0.211709,0.214415,0.214415,36907642
2023-06-29,0.214351,0.224398,0.214351,0.218360,0.218360,22836398
2023-06-30,0.218340,0.231158,0.210436,0.227044,0.227044,55912510
2023-07-01,0.227064,0.240477,0.223205,0.236176,0.236176,43148409
2023-07-02,0.236238,0.238313,0.229295,0.236341,0.236341,32412395
2023-07-03,0.236287,0.250253,0.236213,0.244755,0.244755,41075691
2023-07-04,0.244746,0.249023,0.236081,0.238786,0.238786,36985132
2023-07-05,0.238753,0.242621,0.224084,0.226640,0.226640,27762830
2023-07-06,0.226633,0.235895,0.213810,0.213810,0.213810,32371762
2023-07-07,0.213830,0.223787,0.212298,0.222999,0.222999,25335902
2023-07-08,0.223020,0.225701,0.215462,0.219241,0.219241,18392328
2023-07-09,0.219241,0.220689,0.217160,0.217590,0.217590,15512608
2023-07-10,0.217596,0.218765,0.209728,0.215047,0.215047,24077204
2023-07-11,0.215068,0.218705,0.212165,0.213661,0.213661,18434644
2023-07-12,0.213681,0.220899,0.211333,0.220045,0.220045,33678432
2023-07-13,0.219987,0.236838,0.215940,0.233216,0.233216,59991888
2023-07-14,0.233397,0.254786,0.228830,0.237295,0.237295,70646334
2023-07-15,0.237399,0.245989,0.231912,0.241539,0.241539,34716844
2023-07-16,0.241548,0.247750,0.235650,0.235946,0.235946,35493000
2023-07-17,0.235960,0.245884,0.229583,0.236525,0.236525,36054901
2023-07-18,0.236499,0.238870,0.223627,0.225282,0.225282,26247827
2023-07-19,0.225250,0.230255,0.224653,0.225293,0.225293,25540418
2023-07-20,0.225283,0.231305,0.220769,0.222614,0.222614,26159716
2023-07-21,0.222611,0.226260,0.221327,0.224998,0.224998,17185350
2023-07-22,0.224978,0.227181,0.218259,0.219436,0.219436,17197741
2023-07-23,0.219349,0.225622,0.218530,0.223611,0.223611,17298342
2023-07-24,0.223575,0.225577,0.209275,0.212059,0.212059,28523545
2023-07-25,0.212091,0.213448,0.208170,0.210045,0.210045,16592888
2023-07-26,0.210052,0.214603,0.205922,0.211839,0.211839,18805034
2023-07-27,0.211871,0.217708,0.210497,0.214439,0.214439,17707135
2023-07-28,0.214444,0.217167,0.213074,0.216069,0.216069,15809688
2023-07-29,0.216024,0.217708,0.214299,0.215090,0.215090,13355816
2023-07-30,0.215073,0.215073,0.205822,0.209959,0.209959,16647085
2023-07-31,0.209949,0.212130,0.206996,0.207959,0.207959,16715429
2023-08-01,0.207952,0.210476,0.201805,0.210476,0.210476,27044313
2023-08-02,0.210452,0.214423,0.203855,0.204003,0.204003,27260789
2023-08-03,0.204008,0.205828,0.201235,0.201614,0.201614,17538739
2023-08-04,0.201591,0.203084,0.197445,0.198005,0.198005,17478581
2023-08-05,0.198005,0.198005,0.191947,0.194329,0.194329,14792548
2023-08-06,0.194323,0.199614,0.194092,0.196637,0.196637,15165687
2023-08-07,0.196636,0.199610,0.191801,0.195195,0.195195,17533895
2023-08-08,0.195187,0.201472,0.193349,0.200112,0.200112,19941036
2023-08-09,0.200166,0.203162,0.196053,0.198616,0.198616,16779200
2023-08-10,0.198629,0.203371,0.196405,0.200565,0.200565,15907354
2023-08-11,0.200567,0.203211,0.199933,0.202094,0.202094,11012333
2023-08-12,0.202091,0.203179,0.199672,0.200406,0.200406,10503079
2023-08-13,0.200433,0.221646,0.199884,0.219503,0.219503,41651294
2023-08-14,0.219519,0.232834,0.212840,0.220145,0.220145,82778044
