action,pair,amount,price,total_usdt,initial_usd,current_usd,profit
buy,ETH,0.0043307478768508535,2309.07,90.0,,,
buy,ETH,0.003919007184846506,2296.5,81.0,,,
buy,ETH,0.0035374422982020182,2289.79,72.9,,,
buy,ETH,0.0031670315921176104,2301.84,65.61,,,
buy,ETH,0.0027652857799151153,2372.63,59.049,,,
buy,ETH,0.0024349199411155876,2425.09,53.1441,,,
buy,ETH,0.0021964365421812235,2419.56,47.82969,,,
buy,ETH,0.001923528489157712,2486.56,43.046721,,,
buy,ETH,0.0017217035564585802,2500.24,38.7420489,,,
buy,ETH,0.0015452193624811547,2507.22,34.86784401,,,
buy,ETH,0.0013108261313012457,2659.99,31.381059608999998,,,
buy,ETH,0.0011886810029204658,2639.99,28.2429536481,,,
buy,ETH,0.0010178374530813031,2774.8,25.41865828329,,,
buy,ETH,0.000900546956447293,2822.58,22.876792454961,,,
buy,ETH,0.0008165004927158159,2801.81,20.589113209464898,,,
buy,ETH,0.0007390417962276339,2785.92,18.53020188851841,,,
buy,ETH,0.0006431418120407612,2881.2,16.67718169966657,,,
buy,ETH,0.000566326463585526,2944.8,15.009463529699913,,,
buy,ETH,0.0004978576935097042,3014.81,13.50851717672992,,,
buy,ETH,0.00045515252068728236,2967.91,12.157665459056929,,,
buy,ETH,0.0004091561371426577,2971.4,10.941898913151237,,,
buy,ETH,0.00037443404613401446,2922.25,9.847709021836113,,,
buy,ETH,0.00032906647091298307,2992.62,8.862938119652503,,,
buy,ETH,0.0002847438835588416,3112.6,7.976644307687252,,,
buy,ETH,0.00025115774202009647,3175.95,7.178979876918527,,,
buy,ETH,0.00022141286033027058,3242.35,6.461081889226675,,,
buy,ETH,0.00019098054421011067,3383.11,5.814973700304007,,,
buy,ETH,0.00017409579654213968,3340.1,5.233476330273606,,,
buy,ETH,0.0001524275017409349,3433.42,4.710128697246246,,,
buy,ETH,0.0001376671089015355,3421.39,4.239115827521621,,,
buy,ETH,0.00012154125315447047,3487.8,3.815204244769459,,,
buy,ETH,0.00010516723161103877,3627.75,3.4336838202925133,,,
buy,ETH,9.662387004644545e-05,3553.66,3.090315438263262,,,
buy,ETH,8.092839323160081e-05,3818.58,2.781283894436936,,,
buy,ETH,7.189083567957009e-05,3868.76,2.5031555049932424,,,
buy,ETH,6.445833142330612e-05,3883.37,2.252839954493918,,,
buy,ETH,5.768820942573795e-05,3905.2,2.027555959044526,,,
,,,,,100.0,152.5148105542543,52.5148105542543
