Date,Open,High,Low,Close,Adj Close,Volume
2024-01-15,2472.87000000,2553.82000000,2470.92000000,2511.78000000,2511.78000000,315247.88190000
2024-01-16,2511.79000000,2614.43000000,2500.05000000,2587.40000000,2587.40000000,381077.62470000
2024-01-17,2587.41000000,2592.97000000,2506.75000000,2530.19000000,2530.19000000,366281.34770000
2024-01-18,2530.20000000,2550.00000000,2428.56000000,2470.81000000,2470.81000000,452090.10740000
2024-01-19,2470.81000000,2504.20000000,2415.20000000,2492.00000000,2492.00000000,424209.00290000
2024-01-20,2491.99000000,2492.00000000,2454.20000000,2472.01000000,2472.01000000,136620.95770000
2024-01-21,2472.02000000,2482.18000000,2452.13000000,2457.05000000,2457.05000000,122572.16870000
2024-01-22,2457.06000000,2466.10000000,2303.59000000,2314.20000000,2314.20000000,526337.64920000
2024-01-23,2314.19000000,2352.23000000,2168.07000000,2242.60000000,2242.60000000,700105.33140000
2024-01-24,2242.60000000,2264.60000000,2196.12000000,2235.02000000,2235.02000000,359851.14960000
2024-01-25,2235.02000000,2242.89000000,2171.30000000,2218.64000000,2218.64000000,330426.60610000
2024-01-26,2218.64000000,2282.36000000,2195.84000000,2267.68000000,2267.68000000,363566.42550000
2024-01-27,2267.67000000,2282.94000000,2251.40000000,2267.94000000,2267.94000000,145109.38360000
2024-01-28,2267.94000000,2308.24000000,2239.89000000,2256.90000000,2256.90000000,209326.90870000
2024-01-29,2256.90000000,2322.34000000,2233.80000000,2317.60000000,2317.60000000,305528.07760000
2024-01-30,2317.61000000,2391.98000000,2297.00000000,2343.01000000,2343.01000000,372879.57910000
2024-01-31,2343.00000000,2351.60000000,2263.57000000,2283.14000000,2283.14000000,397116.18590000
2024-02-01,2283.15000000,2311.72000000,2240.00000000,2304.28000000,2304.28000000,310997.45380000
2024-02-02,2304.28000000,2324.74000000,2281.94000000,2309.06000000,2309.06000000,238230.51100000
2024-02-03,2309.07000000,2329.98000000,2292.75000000,2296.49000000,2296.49000000,133232.84500000
2024-02-04,2296.50000000,2311.00000000,2266.00000000,2289.79000000,2289.79000000,171232.04440000
2024-02-05,2289.79000000,2338.41000000,2269.11000000,2301.83000000,2301.83000000,236610.41200000
2024-02-06,2301.84000000,2392.40000000,2299.00000000,2372.64000000,2372.64000000,368942.74980000
2024-02-07,2372.63000000,2444.44000000,2354.00000000,2425.10000000,2425.10000000,342791.70130000
2024-02-08,2425.09000000,2463.15000000,2411.01000000,2419.55000000,2419.55000000,338040.05390000
2024-02-09,2419.56000000,2525.00000000,2419.16000000,2486.56000000,2486.56000000,492384.38500000
2024-02-10,2486.56000000,2516.45000000,2471.57000000,2500.24000000,2500.24000000,185099.59000000
2024-02-11,2500.24000000,2539.63000000,2493.45000000,2507.21000000,2507.21000000,219975.14710000
2024-02-12,2507.22000000,2665.58000000,2472.00000000,2659.99000000,2659.99000000,449501.77600000
2024-02-13,2659.99000000,2686.12000000,2590.00000000,2639.99000000,2639.99000000,502447.74500000
2024-02-14,2639.99000000,2786.00000000,2618.40000000,2774.81000000,2774.81000000,461670.69440000
2024-02-15,2774.80000000,2867.65000000,2759.25000000,2822.59000000,2822.59000000,481689.18740000
2024-02-16,2822.58000000,2857.40000000,2740.00000000,2801.80000000,2801.80000000,378070.80370000
2024-02-17,2801.81000000,2804.21000000,2719.01000000,2785.93000000,2785.93000000,243302.87590000
2024-02-18,2785.92000000,2895.00000000,2764.25000000,2881.20000000,2881.20000000,367987.88330000
2024-02-19,2881.20000000,2984.52000000,2856.93000000,2944.80000000,2944.80000000,446451.04010000
2024-02-20,2944.80000000,3033.09000000,2874.56000000,3014.81000000,3014.81000000,634681.74710000
2024-02-21,3014.81000000,3017.15000000,2868.00000000,2967.90000000,2967.90000000,595955.00330000
2024-02-22,2967.91000000,3036.02000000,2906.51000000,2971.40000000,2971.40000000,563525.99360000
2024-02-23,2971.40000000,2993.80000000,2906.05000000,2922.24000000,2922.24000000,428826.57870000
2024-02-24,2922.25000000,3007.48000000,2906.40000000,2992.62000000,2992.62000000,243854.07830000
2024-02-25,2992.62000000,3122.00000000,2983.61000000,3112.59000000,3112.59000000,412306.22370000
