action,pair,amount,price,total_usdt,initial_usd,current_usd,profit
buy,BTC,1.0112214836997837e-08,67798.81,0.0061703651917151756,,,
buy,BTC,9.100487314369418e-09,67802.58,0.005553328672543658,,,
buy,BTC,8.192021346886948e-09,67789.48,0.004997995805289292,,,
buy,BTC,7.376625619389549e-09,67754.5,0.0044981962247603625,,,
buy,BTC,6.6332994281430486e-09,67812.35,0.004048376602284326,,,
buy,BTC,5.967166835609125e-09,67844.2,0.0036435389420558933,,,
buy,BTC,5.369783719561446e-09,67852.62,0.003279185047850304,,,
buy,BTC,4.8352182314308086e-09,67818.76,0.0029512665430652734,,,
buy,BTC,4.352693143181046e-09,67803.23,0.002656139888758746,,,
buy,BTC,3.920155087039162e-09,67755.99,0.0023905258998828715,,,
buy,BTC,3.529576288418511e-09,67728.41,0.0021514733098945845,,,
buy,BTC,3.1738519591673453e-09,67787.45,0.001936325978905126,,,
buy,BTC,2.8566795789248036e-09,67782.4,0.0017426933810146135,,,
buy,BTC,2.570571324833291e-09,67794.01,0.001568424042913152,,,
buy,BTC,2.3119086720351226e-09,67841.09,0.001411581638621837,,,
buy,BTC,2.0818550735433235e-09,67804.03,0.0012704234747596532,,,
buy,BTC,1.8752191574063488e-09,67748.0,0.0011433811272836879,,,
buy,BTC,1.6876476694442139e-09,67749.99,0.001029043014555319,,,
buy,BTC,1.5195328813839592e-09,67721.01,0.0009261387130997872,,,
buy,BTC,1.3668622636479973e-09,67756.55,0.0008335248417898084,,,
buy,BTC,1.2302259678273518e-09,67753.8,0.0007501723576108276,,,
buy,BTC,1.106293567054932e-09,67809.52,0.0006751551218497448,,,
buy,BTC,9.96528923177959e-10,67750.68,0.0006076396096647704,,,
buy,BTC,8.970711998161839e-10,67735.94,0.0005468756486982934,,,
buy,BTC,8.091619270338306e-10,67585.44,0.0004921880838284641,,,
buy,BTC,7.300805107964851e-10,67415.59,0.0004429692754456177,,,
buy,BTC,6.559592409975088e-10,67530.0,0.0003986723479010559,,,
buy,BTC,5.907004351380988e-10,67491.46,0.0003588051131109503,,,
buy,BTC,5.315114754935674e-10,67506.56,0.00032292460179985527,,,
buy,BTC,4.780796693342071e-10,67546.19,0.0002906321416198697,,,
buy,BTC,4.303748580184655e-10,67530.0,0.00026156892745788274,,,
buy,BTC,3.872800228870044e-10,67540.0,0.00023541203471209447,,,
buy,BTC,3.48139706486343e-10,67619.99,0.00021187083124088503,,,
buy,BTC,3.1290921760579685e-10,67710.0,0.00019068374811679652,,,
buy,BTC,2.7938384402048796e-10,68251.53,0.00017161537330511687,,,
buy,BTC,2.5183857728222847e-10,68144.99,0.0001544538359746052,,,
buy,BTC,2.268311049383264e-10,68092.0,0.00013900845237714468,,,
buy,BTC,2.0422162483998547e-10,68067.45,0.0001251076071394302,,,
buy,BTC,1.8415783551220103e-10,67934.99,0.00011259684642548719,,,
buy,BTC,1.6571668280289095e-10,67945.39,0.00010133716178293847,,,
buy,BTC,1.4887198734088213e-10,68070.0,9.120344560464461e-05,,,
buy,BTC,1.339946507075732e-10,68064.99,8.208310104418015e-05,,,
buy,BTC,1.2041653781818135e-10,68165.97,7.387479093976214e-05,,,
buy,BTC,1.0842256924682849e-10,68135.99,6.648731184578592e-05,,,
buy,BTC,9.728094237101769e-11,68345.67,5.983858066120733e-05,,,
buy,BTC,8.7741629759088e-11,68198.62,5.385472259508659e-05,,,
buy,BTC,7.89051165958389e-11,68252.51,4.846925033557794e-05,,,
buy,BTC,7.113951403280972e-11,68132.67,4.362232530202014e-05,,,
buy,BTC,6.408253205354343e-11,68072.1,3.926009277181813e-05,,,
buy,BTC,5.765202163666467e-11,68098.38,3.533408349463631e-05,,,
buy,BTC,5.1853467990951154e-11,68142.18,3.180067514517268e-05,,,
buy,BTC,4.67073077395049e-11,68085.01,2.862060763065541e-05,,,
buy,BTC,4.2053315522994184e-11,68057.91,2.5758546867589868e-05,,,
buy,BTC,3.786239281713104e-11,68032.01,2.318269218083088e-05,,,
buy,BTC,3.404031794021975e-11,68103.63,2.0864422962747792e-05,,,
buy,BTC,3.0669259471974066e-11,68030.41,1.877798066647301e-05,,,
buy,BTC,2.7643284184637854e-11,67929.63,1.690018259982571e-05,,,
buy,BTC,2.4847355960883494e-11,68016.02,1.5210164339843137e-05,,,
buy,BTC,2.240767223902546e-11,67879.27,1.3689147905858824e-05,,,
buy,BTC,2.0223291303781497e-11,67690.01,1.2320233115272942e-05,,,
buy,BTC,1.822789335001175e-11,67590.0,1.1088209803745648e-05,,,
buy,BTC,1.6365245357062957e-11,67754.62,9.979388823371084e-06,,,
buy,BTC,1.4741226621052357e-11,67697.14,8.981449941033976e-06,,,
buy,BTC,1.3277043530487738e-11,67646.46,8.083304946930578e-06,,,
buy,BTC,1.1958393737385321e-11,67595.24,7.274974452237521e-06,,,
buy,BTC,1.0744579768391122e-11,67708.32,6.547477007013768e-06,,,
buy,BTC,9.66603457494583e-12,67736.95,5.892729306312391e-06,,,
buy,BTC,8.7070562404629e-12,67677.63,5.3034563756811525e-06,,,
buy,BTC,7.834621104917648e-12,67692.57,4.773110738113037e-06,,,
buy,BTC,7.043781462361708e-12,67763.47,4.2957996643017335e-06,,,
buy,BTC,6.3330724371594334e-12,67831.21,3.866219697871561e-06,,,
buy,BTC,5.695402406622379e-12,67883.17,3.4795977280844046e-06,,,
buy,BTC,5.130044301998759e-12,67827.83,3.131637955275964e-06,,,
buy,BTC,4.6140474136040024e-12,67871.82,2.8184741597483678e-06,,,
buy,BTC,4.15605278530103e-12,67816.13,2.536626743773531e-06,,,
buy,BTC,3.739389919163826e-12,67835.31,2.2829640693961776e-06,,,
buy,BTC,3.3599193568341696e-12,67946.99,2.05466766245656e-06,,,
buy,BTC,3.026221572417722e-12,67895.48,1.8492008962109039e-06,,,
buy,BTC,2.722295513206489e-12,67928.0,1.6642808065898135e-06,,,
buy,BTC,2.4513806450341532e-12,67891.57,1.497852725930832e-06,,,
buy,BTC,2.2064031252263253e-12,67886.63,1.3480674533377487e-06,,,
buy,BTC,1.9869812857804535e-12,67845.0,1.213260708003974e-06,,,
buy,BTC,1.7903779350118455e-12,67765.62,1.0919346372035766e-06,,,
buy,BTC,1.6097545127843486e-12,67832.37,9.827411734832188e-07,,,
buy,BTC,1.4523540442873595e-12,67665.4,8.84467056134897e-07,,,
buy,BTC,1.3067636827241282e-12,67683.78,7.960203505214072e-07,,,
buy,BTC,1.1736558600516148e-12,67824.0,7.164183154692665e-07,,,
buy,BTC,1.0513915619755068e-12,68140.01,6.447764839223399e-07,,,
buy,BTC,9.450655955176048e-13,68225.58,5.802988355301059e-07,,,
buy,BTC,8.511845842580641e-13,68175.44,5.222689519770954e-07,,,
buy,BTC,7.627035394981329e-13,68476.01,4.700420567793858e-07,,,
buy,BTC,6.843301069998317e-13,68686.45,4.230378511014472e-07,,,
buy,BTC,6.164935166153413e-13,68620.0,3.807340659913025e-07,,,
buy,BTC,5.561705612281438e-13,68456.35,3.426606593921722e-07,,,
buy,BTC,5.008480598528391e-13,68416.09,3.08394593452955e-07,,,
buy,BTC,4.516272830026932e-13,68285.2,2.775551341076595e-07,,,
buy,BTC,4.062694673945464e-13,68317.99,2.497996206968936e-07,,,
buy,BTC,3.6502139966322934e-13,68434.24,2.248196586272042e-07,,,
buy,BTC,3.2876638369181173e-13,68382.8,2.0233769276448378e-07,,,
buy,BTC,2.961290465959755e-13,68327.54,1.821039234880354e-07,,,
buy,BTC,2.6651715608763504e-13,68327.28,1.6389353113923185e-07,,,
buy,BTC,2.395277465471814e-13,68423.61,1.4750417802530866e-07,,,
buy,BTC,2.1530313534565562e-13,68510.0,1.327537602227778e-07,,,
buy,BTC,1.9379644172480196e-13,68501.65,1.1947838420050003e-07,,,
buy,BTC,1.7417687151264343e-13,68596.01,1.0753054578045002e-07,,,
buy,BTC,1.563782466797241e-13,68763.11,9.677749120240501e-08,,,
buy,BTC,1.4086973113446596e-13,68699.99,8.709974208216451e-08,,,
buy,BTC,1.2654696065869198e-13,68828.0,7.838976787394806e-08,,,
buy,BTC,1.1344512978130605e-13,69099.28,7.055079108655326e-08,,,
buy,BTC,1.0200180245003018e-13,69166.22,6.349571197789793e-08,,,
buy,BTC,9.197086742336707e-14,69038.94,5.714614078010814e-08,,,
buy,BTC,8.271987534598589e-14,69083.93,5.1431526702097326e-08,,,
buy,BTC,7.466678479545616e-14,68881.4,4.628837403188759e-08,,,
buy,BTC,6.716938923175139e-14,68912.9,4.165953662869883e-08,,,
buy,BTC,6.045788962277809e-14,68906.7,3.7493582965828945e-08,,,
buy,BTC,5.4317342273946415e-14,69026.91,3.374422466924605e-08,,,
buy,BTC,4.871787920004986e-14,69264.56,3.0369802202321446e-08,,,
buy,BTC,4.382810180701027e-14,69292.99,2.73328219820893e-08,,,
buy,BTC,3.953112220362356e-14,69142.54,2.459953978388037e-08,,,
buy,BTC,3.560405034605378e-14,69091.97,2.2139585805492336e-08,,,
buy,BTC,3.208403595956225e-14,69004.99,1.99256272249431e-08,,,
buy,BTC,2.886001562366609e-14,69042.33,1.793306450244879e-08,,,
buy,BTC,2.5984341208757692e-14,69014.89,1.613975805220391e-08,,,
buy,BTC,2.336153171180631e-14,69086.9,1.452578224698352e-08,,,
buy,BTC,2.099850083401629e-14,69175.33,1.3073204022285168e-08,,,
buy,BTC,1.891623928269196e-14,69111.01,1.1765883620056652e-08,,,
buy,BTC,1.7074771608603723e-14,68908.0,1.0589295258050987e-08,,,
buy,BTC,1.5330822894410204e-14,69071.93,9.530365732245888e-09,,,
buy,BTC,1.3772971086174434e-14,69196.15,8.577329159021299e-09,,,
buy,BTC,1.2412702929154217e-14,69101.22,7.71959624311917e-09,,,
buy,BTC,1.1174864277821612e-14,69080.0,6.947636618807252e-09,,,
buy,BTC,1.0033579326983194e-14,69243.85,6.2528729569265266e-09,,,
buy,BTC,9.009904694404893e-15,69399.99,5.627585661233874e-09,,,
buy,BTC,8.079807123092425e-15,69650.0,5.064827095110486e-09,,,
buy,BTC,7.261793354437203e-15,69746.23,4.558344385599437e-09,,,
buy,BTC,6.5535081775355265e-15,69555.79,4.102509947039494e-09,,,
buy,BTC,5.8870385118858254e-15,69687.16,3.6922589523355444e-09,,,
buy,BTC,5.275560781693465e-15,69987.99,3.32303305710199e-09,,,
buy,BTC,4.7611108896569295e-15,69795.33,2.990729751391791e-09,,,
buy,BTC,4.268491010441823e-15,70065.27,2.6916567762526116e-09,,,
buy,BTC,3.855365228926621e-15,69815.87,2.4224910986273503e-09,,,
buy,BTC,3.5007734225035748e-15,69198.74,2.180241988764615e-09,,,
buy,BTC,3.1700617537490403e-15,68776.01,1.9622177898881538e-09,,,
buy,BTC,2.837214849462339e-15,69160.0,1.7659960108993384e-09,,,
buy,BTC,2.5546014912474158e-15,69130.0,1.5893964098094046e-09,,,
buy,BTC,2.295489080529048e-15,69239.99,1.430456768828464e-09,,,
buy,BTC,2.054803161473717e-15,69615.27,1.2874110919456176e-09,,,
buy,BTC,1.8563428687151503e-15,69352.01,1.158669982751056e-09,,,
buy,BTC,1.6733148721658816e-15,69243.99,1.0428029844759504e-09,,,
buy,BTC,1.5078777050420788e-15,69157.0,9.385226860283553e-10,,,
buy,BTC,1.3586022210595124e-15,69080.02,8.446704174255198e-10,,,
buy,BTC,1.2228113883463596e-15,69076.1,7.602033756829678e-10,,,
buy,BTC,1.0991582926700086e-15,69162.32,6.84183038114671e-10,,,
buy,BTC,9.867208171593172e-16,69339.07,6.157647343032039e-10,,,
buy,BTC,8.889473098971632e-16,69268.98,5.541882608728835e-10,,,
buy,BTC,8.012787489389317e-16,69162.98,4.987694347855952e-10,,,
buy,BTC,7.197820358143744e-16,69294.51,4.4889249130703565e-10,,,
buy,BTC,6.47032653868547e-16,69377.1,4.0400324217633205e-10,,,
buy,BTC,5.830747771183262e-16,69288.41,3.6360291795869883e-10,,,
buy,BTC,5.26022676890992e-16,69123.05,3.2724262616282896e-10,,,
buy,BTC,4.73498500126721e-16,69111.65,2.9451836354654604e-10,,,
buy,BTC,4.2646730509675e-16,69060.01,2.6506652719189144e-10,,,
buy,BTC,3.830219744406269e-16,69204.0,2.385598744727023e-10,,,
buy,BTC,3.4356295024282767e-16,69437.02,2.1470388702543208e-10,,,
buy,BTC,3.0935510214215106e-16,69403.7,1.9323349832288887e-10,,,
buy,BTC,2.7905414491503156e-16,69245.88,1.7391014849059997e-10,,,
buy,BTC,2.5167427939193016e-16,69101.28,1.5651913364153999e-10,,,
buy,BTC,2.2675453763888287e-16,69025.8,1.40867220277386e-10,,,
buy,BTC,2.0403710932413963e-16,69040.0,1.267804982496474e-10,,,
buy,BTC,1.8336780192312321e-16,69140.0,1.1410244842468265e-10,,,
buy,BTC,1.6517156328516533e-16,69081.17,1.0269220358221438e-10,,,
buy,BTC,1.4909722339017128e-16,68876.0,9.242298322399293e-11,,,
buy,BTC,1.3400296389560653e-16,68970.85,8.318068490159364e-11,,,
buy,BTC,1.2042921107006313e-16,69070.19,7.486261641143427e-11,,,
buy,BTC,1.0842974337322655e-16,69042.51,6.737635477029085e-11,,,
buy,BTC,9.769433643830626e-17,68966.49,6.063871929326176e-11,,,
buy,BTC,8.80318176896615e-17,68882.73,5.457484736393559e-11,,,
buy,BTC,7.938047617936968e-17,68750.97,4.911736262754203e-11,,,
buy,BTC,7.138125439168996e-17,68809.89,4.4205626364787823e-11,,,
buy,BTC,6.421658742271613e-17,68838.33,3.9785063728309044e-11,,,
buy,BTC,5.784057040045942e-17,68784.01,3.580655735547814e-11,,,
buy,BTC,5.1892343042783845e-17,69001.62,3.222590161993033e-11,,,
buy,BTC,4.670325764394684e-17,69001.4,2.9003311457937296e-11,,,
buy,BTC,4.1991178889270906e-17,69070.01,2.6102980312143564e-11,,,
buy,BTC,3.7823291085450255e-17,69012.98,2.3492682280929207e-11,,,
buy,BTC,3.4010885253265603e-17,69074.01,2.1143414052836288e-11,,,
buy,BTC,3.0547264045443476e-17,69215.41,1.902907264755266e-11,,,
buy,BTC,2.747214847803328e-17,69266.78,1.7126165382797396e-11,,,
buy,BTC,2.4725569021580016e-17,69265.0,1.5413548844517657e-11,,,
buy,BTC,2.229668161813444e-17,69129.34,1.3872193960065891e-11,,,
buy,BTC,2.0064041407347126e-17,69139.58,1.2484974564059302e-11,,,
buy,BTC,1.800746401032493e-17,69332.22,1.1236477107653372e-11,,,
buy,BTC,1.623480974488385e-17,69212.25,1.0112829396888035e-11,,,
buy,BTC,1.4607506586543874e-17,69230.36,9.101546457199231e-12,,,
buy,BTC,1.315818636574993e-17,69170.22,8.191391811479307e-12,,,
buy,BTC,1.1828726345634573e-17,69249.99,7.372252630331376e-12,,,
buy,BTC,1.0649139951556707e-17,69228.62,6.635027367298239e-12,,,
buy,BTC,9.593120867616836e-18,69164.43,5.971524630568415e-12,,,
buy,BTC,8.646711758883517e-18,69061.22,5.374372167511574e-12,,,
buy,BTC,7.77590981540304e-18,69115.67,4.8369349507604166e-12,,,
buy,BTC,6.998801854353535e-18,69110.9,4.353241455684375e-12,,,
buy,BTC,6.309067532531092e-18,68999.76,3.9179173101159374e-12,,,
buy,BTC,5.681763359155986e-18,68956.01,3.5261255791043437e-12,,,
buy,BTC,5.119035221227567e-18,68882.62,3.1735130211939094e-12,,,
buy,BTC,4.602733609627585e-18,68948.44,2.8561617190745183e-12,,,
buy,BTC,4.1448943395856624e-18,68907.95,2.5705455471670664e-12,,,
buy,BTC,3.730541333487167e-18,68905.43,2.31349099245036e-12,,,
buy,BTC,3.350350883028144e-18,69052.2,2.082141893205324e-12,,,
buy,BTC,3.017902673336508e-18,68993.01,1.8739277038847917e-12,,,
buy,BTC,2.716062409644382e-18,68994.28,1.6865349334963125e-12,,,
buy,BTC,2.4437711476318914e-18,69013.62,1.5178814401466811e-12,,,
buy,BTC,2.1963016775624783e-18,69110.79,1.366093296132013e-12,,,
buy,BTC,1.9766855246352758e-18,69110.3,1.2294839665188118e-12,,,
buy,BTC,1.7793869574066257e-18,69095.93,1.1065355698669306e-12,,,
buy,BTC,1.6074828424945977e-18,68836.54,9.958820128802377e-13,,,
buy,BTC,1.44792088658185e-18,68780.14,8.962938115922139e-13,,,
buy,BTC,1.3045575871503232e-18,68704.81,8.066644304329925e-13,,,
buy,BTC,1.1737806416644768e-18,68723.61,7.259979873896932e-13,,,
buy,BTC,1.056490050033082e-18,68717.92,6.533981886507239e-13,,,
buy,BTC,9.490856254391734e-19,68845.02,5.880583697856515e-13,,,
buy,BTC,8.546515312231516e-19,68806.8,5.292525328070864e-13,,,
buy,BTC,7.676961014382233e-19,68940.37,4.763272795263777e-13,,,
buy,BTC,6.91425048803971e-19,68890.66,4.2869455157373996e-13,,,
buy,BTC,6.221980977560671e-19,68900.01,3.8582509641636594e-13,,,
buy,BTC,5.597478896082498e-19,68928.37,3.4724258677472933e-13,,,
buy,BTC,5.040390564575413e-19,68892.0,3.125183280972564e-13,,,
buy,BTC,4.532151708938017e-19,68955.84,2.8126649528753077e-13,,,
buy,BTC,4.0776805177535896e-19,68977.08,2.531398457587777e-13,,,
buy,BTC,3.665559098144742e-19,69059.0,2.2782586118289994e-13,,,
buy,BTC,3.2983927905564324e-19,69071.78,2.0504327506460995e-13,,,
buy,BTC,2.9739449664292166e-19,68946.56,1.8453894755814896e-13,,,
buy,BTC,2.665561776171397e-19,69230.79,1.6608505280233405e-13,,,
buy,BTC,2.39212990164068e-19,69429.78,1.4947654752210064e-13,,,
buy,BTC,2.1492576208471395e-19,69547.99,1.3452889276989059e-13,,,
buy,BTC,1.9348882769355275e-19,69527.99,1.2107600349290152e-13,,,
buy,BTC,1.7339281053833103e-19,69827.58,1.0896840314361136e-13,,,
buy,BTC,1.5622846758030626e-19,69749.39,9.807156282925022e-14,,,
buy,BTC,1.410350992029569e-19,69536.99,8.82644065463252e-14,,,
buy,BTC,1.2672292659686848e-19,69651.49,7.943796589169268e-14,,,
buy,BTC,1.1375982985380212e-19,69829.54,7.149416930252342e-14,,,
buy,BTC,1.0215097388182843e-19,69988.73,6.434475237227108e-14,,,
buy,BTC,9.172453534529524e-20,70149.99,5.791027713504397e-14,,,
buy,BTC,8.220636969982819e-20,70445.0,5.2119249421539575e-14,,,
buy,BTC,7.390938400567626e-20,70517.77,4.690732447938562e-14,,,
buy,BTC,6.619418521879776e-20,70863.21,4.2216592031447054e-14,,,
buy,BTC,5.950188313073819e-20,70950.01,3.799493282830235e-14,,,
buy,BTC,5.366515936200897e-20,70800.0,3.419543954547211e-14,,,
buy,BTC,4.8376551538893736e-20,70685.98,3.07758955909249e-14,,,
buy,BTC,4.3662101052690504e-20,70486.52,2.7698306031832412e-14,,,
buy,BTC,3.933513873987277e-20,70416.19,2.492847542864917e-14,,,
buy,BTC,3.5327464281932353e-20,70564.01,2.2435627885784252e-14,,,
buy,BTC,3.170665331512755e-20,70760.0,2.0192065097205827e-14,,,
buy,BTC,2.8468000315817025e-20,70928.99,1.8172858587485245e-14,,,
buy,BTC,2.564407528419276e-20,70865.72,1.635557272873672e-14,,,
buy,BTC,2.3135837662320717e-20,70693.67,1.472001545586305e-14,,,
buy,BTC,2.0858152604238298e-20,70572.0,1.3248013910276745e-14,,,
buy,BTC,1.879897535230552e-20,70472.0,1.1923212519249071e-14,,,
buy,BTC,1.6951789729399028e-20,70336.01,1.0730891267324164e-14,,,
buy,BTC,1.5237633042844813e-20,70423.61,9.657802140591748e-15,,,
buy,BTC,1.373666026840907e-20,70306.77,8.692021926532574e-15,,,
buy,BTC,1.2370773177824114e-20,70262.56,7.822819733879317e-15,,,
buy,BTC,1.1120418633604565e-20,70346.45,7.040537760491385e-15,,,
buy,BTC,1.0000381747474969e-20,70402.69,6.336483984442246e-15,,,
buy,BTC,8.99770698746132e-21,70423.32,5.702835585998021e-15,,,
buy,BTC,8.09004765789421e-21,70491.99,5.132552027398219e-15,,,
buy,BTC,7.284863487936302e-21,70455.02,4.619296824658397e-15,,,
buy,BTC,6.5410594315384515e-21,70620.01,4.157367142192557e-15,,,
buy,BTC,5.88031045381119e-21,70699.79,3.741630427973302e-15,,,
buy,BTC,5.29635319261832e-21,70645.41,3.3674673851759715e-15,,,
buy,BTC,4.773089838678591e-21,70551.1,3.0307206466583745e-15,,,
buy,BTC,4.2951592688094576e-21,70561.31,2.727648581992537e-15,,,
buy,BTC,3.865538159169496e-21,70563.23,2.4548837237932833e-15,,,
buy,BTC,3.486312873828243e-21,70414.9,2.209395351413955e-15,,,
buy,BTC,3.1321165837855074e-21,70540.01,1.9884558162725596e-15,,,
buy,BTC,2.8189920447971812e-21,70537.83,1.7896102346453035e-15,,,
buy,BTC,2.539124130118448e-21,70481.4,1.6106492111807731e-15,,,
buy,BTC,2.2805975464159114e-21,70624.0,1.4495842900626957e-15,,,
buy,BTC,2.049389015125712e-21,70732.51,1.3046258610564262e-15,,,
buy,BTC,1.843317007725962e-21,70775.99,1.1741632749507835e-15,,,
buy,BTC,1.6613629416902847e-21,70674.7,1.056746947455705e-15,,,
buy,BTC,1.488331332392007e-21,71002.13,9.510722527101347e-16,,,
buy,BTC,1.3394697126937926e-21,71003.64,8.559650274391212e-16,,,
buy,BTC,1.205817387328062e-21,70986.29,7.703685246952091e-16,,,
buy,BTC,1.0884597985238632e-21,70776.02,6.933316722256882e-16,,,
buy,BTC,9.768378586991564e-22,70977.15,6.239985050031193e-16,,,
buy,BTC,8.793627099474613e-22,70960.31,5.615986545028073e-16,,,
